id,uuid,tenant_id,organization_id,plan_id,version_no,title,description,lifecycle_status,effective_from,effective_to,published_at,version,created_at,updated_at
plan-free-v1,,100001,0,plan-free,v1,免费版,,published,2026-07-13 13:03:39.367142+08,,2026-07-13 13:03:39.367142+08,0,2026-07-13 13:03:39.367142+08,2026-07-14 11:35:44.568792+08
plan-basic-v1,,100001,0,plan-basic,v1,基础版,,published,2026-07-13 13:03:39.367142+08,,2026-07-13 13:03:39.367142+08,0,2026-07-13 13:03:39.367142+08,2026-07-14 11:35:44.576596+08
plan-standard-v1,,100001,0,plan-standard,v1,标准版,,published,2026-07-13 13:03:39.367142+08,,2026-07-13 13:03:39.367142+08,0,2026-07-13 13:03:39.367142+08,2026-07-14 11:35:44.582074+08
plan-premium-v1,,100001,0,plan-premium,v1,巅峰版,,published,2026-07-13 13:03:39.367142+08,,2026-07-13 13:03:39.367142+08,0,2026-07-13 13:03:39.367142+08,2026-07-14 11:35:44.586989+08
plan-super-v1,,100001,0,plan-super,v1,超级版,,published,2026-07-14 11:35:44.474484+08,,2026-07-14 11:35:44.474484+08,0,2026-07-14 11:35:44.474484+08,2026-07-14 11:35:44.590481+08
